S.No,Team Size,Release Frequency,Compliance,Scalability,Project Size,Project Length,Security Level,Recommended Tools
24,Large,Weekly,Medium,Manual,Large,Medium,Moderate,"Travis CI, GitLab, Docker, Grafana, Docker Swarm, SonarQube, Ansible, JFrog Artifactory"
25,Medium,Monthly,Low,None,Medium,Long,Strict,"CircleCI, Bitbucket, Docker, ELK Stack, None, HashiCorp Vault, Ansible, Nexus Repository"
26,Medium,Monthly,Low,None,Medium,Long,None,"CircleCI, Bitbucket, Docker, ELK Stack, None, OWASP ZAP, Ansible, Nexus Repository"
27,Large,Weekly,Medium,Manual,Small,Short,Moderate,"Travis CI, GitLab, Docker, Grafana, Docker Swarm, SonarQube, Terraform, Nexus Repository"
28,Small,Daily,Medium,Auto-scaling,Small,Short,Moderate,"Jenkins, GitHub, Docker, Grafana, Kubernetes, SonarQube, Terraform, Nexus Repository"
29,Small,Daily,Low,None,Small,Short,None,"Jenkins, GitHub, Docker, ELK Stack, None, OWASP ZAP, Terraform, Nexus Repository"
30,Medium,Daily,Medium,Auto-scaling,Large,Long,Moderate,"CircleCI, GitHub, Docker, Grafana, Kubernetes, SonarQube, Ansible, JFrog Artifactory"
31,Medium,Weekly,Medium,Auto-scaling,Medium,Short,None,"CircleCI, GitLab, Docker, Grafana, Kubernetes, OWASP ZAP, Terraform, Nexus Repository"
32,Medium,Daily,High,Manual,Medium,Long,None,"CircleCI, GitHub, Docker, Prometheus, Docker Swarm, OWASP ZAP, Ansible, Nexus Repository"
33,Small,Daily,Low,Manual,Large,Short,Strict,"Jenkins, GitHub, Docker, ELK Stack, Docker Swarm, HashiCorp Vault, Terraform, JFrog Artifactory"
34,Large,Daily,Medium,Manual,Small,Medium,Strict,"Travis CI, GitHub, Docker, Grafana, Docker Swarm, HashiCorp Vault, Ansible, Nexus Repository"
35,Medium,Daily,High,Manual,Small,Long,None,"CircleCI, GitHub, Docker, Prometheus, Docker Swarm, OWASP ZAP, Ansible, Nexus Repository"
36,Large,Daily,Medium,Auto-scaling,Medium,Medium,None,"Travis CI, GitHub, Docker, Grafana, Kubernetes, OWASP ZAP, Ansible, Nexus Repository"
37,Medium,Monthly,Medium,None,Large,Short,Moderate,"CircleCI, Bitbucket, Docker, Grafana, None, SonarQube, Terraform, JFrog Artifactory"
38,Large,Monthly,Medium,Manual,Large,Long,Strict,"Travis CI, Bitbucket, Docker, Grafana, Docker Swarm, HashiCorp Vault, Ansible, JFrog Artifactory"
39,Medium,Monthly,Medium,Auto-scaling,Small,Long,None,"CircleCI, Bitbucket, Docker, Grafana, Kubernetes, OWASP ZAP, Ansible, Nexus Repository"
40,Large,Weekly,High,Manual,Medium,Long,Strict,"Travis CI, GitLab, Docker, Prometheus, Docker Swarm, HashiCorp Vault, Ansible, Nexus Repository"
41,Small,Weekly,Low,None,Large,Medium,Moderate,"Jenkins, GitLab, Docker, ELK Stack, None, SonarQube, Ansible, JFrog Artifactory"
42,Medium,Monthly,Medium,Auto-scaling,Large,Long,Strict,"CircleCI, Bitbucket, Docker, Grafana, Kubernetes, HashiCorp Vault, Ansible, JFrog Artifactory"
43,Medium,Weekly,Low,Auto-scaling,Small,Short,Moderate,"CircleCI, GitLab, Docker, ELK Stack, Kubernetes, SonarQube, Terraform, Nexus Repository"
44,Medium,Weekly,High,Manual,Large,Medium,None,"CircleCI, GitLab, Docker, Prometheus, Docker Swarm, OWASP ZAP, Ansible, JFrog Artifactory"
45,Medium,Weekly,High,Manual,Medium,Medium,None,"CircleCI, GitLab, Docker, Prometheus, Docker Swarm, OWASP ZAP, Ansible, Nexus Repository"
46,Large,Weekly,High,None,Medium,Short,None,"Travis CI, GitLab, Docker, Prometheus, None, OWASP ZAP, Terraform, Nexus Repository"
47,Medium,Daily,Low,Manual,Medium,Medium,None,"CircleCI, GitHub, Docker, ELK Stack, Docker Swarm, OWASP ZAP, Ansible, Nexus Repository"
48,Large,Weekly,Low,Manual,Small,Medium,Strict,"Travis CI, GitLab, Docker, ELK Stack, Docker Swarm, HashiCorp Vault, Ansible, Nexus Repository"
49,Medium,Weekly,Low,Manual,Large,Medium,Strict,"CircleCI, GitLab, Docker, ELK Stack, Docker Swarm, HashiCorp Vault, Ansible, JFrog Artifactory"
50,Small,Daily,Low,None,Small,Long,Strict,"Jenkins, GitHub, Docker, ELK Stack, None, HashiCorp Vault, Ansible, Nexus Repository"
51,Medium,Daily,Low,Auto-scaling,Large,Short,Moderate,"CircleCI, GitHub, Docker, ELK Stack, Kubernetes, SonarQube, Terraform, JFrog Artifactory"
52,Medium,Daily,Medium,Auto-scaling,Small,Medium,None,"CircleCI, GitHub, Docker, Grafana, Kubernetes, OWASP ZAP, Ansible, Nexus Repository"
53,Small,Daily,Low,Manual,Medium,Long,Moderate,"Jenkins, GitHub, Docker, ELK Stack, Docker Swarm, SonarQube, Ansible, Nexus Repository"
54,Small,Weekly,Low,Manual,Small,Short,Strict,"Jenkins, GitLab, Docker, ELK Stack, Docker Swarm, HashiCorp Vault, Terraform, Nexus Repository"
55,Medium,Monthly,Medium,None,Large,Short,None,"CircleCI, Bitbucket, Docker, Grafana, None, OWASP ZAP, Terraform, JFrog Artifactory"
56,Small,Weekly,Low,Manual,Small,Medium,None,"Jenkins, GitLab, Docker, ELK Stack, Docker Swarm, OWASP ZAP, Ansible, Nexus Repository"
57,Small,Daily,High,Manual,Large,Long,None,"Jenkins, GitHub, Docker, Prometheus, Docker Swarm, OWASP ZAP, Ansible, JFrog Artifactory"
58,Small,Monthly,Low,Manual,Small,Long,Moderate,"Jenkins, Bitbucket, Docker, ELK Stack, Docker Swarm, SonarQube, Ansible, Nexus Repository"
59,Small,Daily,High,Auto-scaling,Medium,Short,Strict,"Jenkins, GitHub, Docker, Prometheus, Kubernetes, HashiCorp Vault, Terraform, Nexus Repository"
60,Medium,Daily,Medium,Manual,Small,Short,Moderate,"CircleCI, GitHub, Docker, Grafana, Docker Swarm, SonarQube, Terraform, Nexus Repository"
61,Medium,Daily,Medium,None,Small,Short,Strict,"CircleCI, GitHub, Docker, Grafana, None, HashiCorp Vault, Terraform, Nexus Repository"
62,Large,Weekly,High,Manual,Small,Long,Strict,"Travis CI, GitLab, Docker, Prometheus, Docker Swarm, HashiCorp Vault, Ansible, Nexus Repository"
63,Medium,Daily,Low,Auto-scaling,Small,Short,Moderate,"CircleCI, GitHub, Docker, ELK Stack, Kubernetes, SonarQube, Terraform, Nexus Repository"
64,Small,Monthly,Medium,None,Small,Long,None,"Jenkins, Bitbucket, Docker, Grafana, None, OWASP ZAP, Ansible, Nexus Repository"
65,Medium,Weekly,Low,Manual,Large,Medium,Moderate,"CircleCI, GitLab, Docker, ELK Stack, Docker Swarm, SonarQube, Ansible, JFrog Artifactory"
66,Large,Daily,Medium,None,Large,Short,Moderate,"Travis CI, GitHub, Docker, Grafana, None, SonarQube, Terraform, JFrog Artifactory"
67,Small,Monthly,High,Manual,Large,Medium,None,"Jenkins, Bitbucket, Docker, Prometheus, Docker Swarm, OWASP ZAP, Ansible, JFrog Artifactory"
68,Medium,Weekly,Low,Auto-scaling,Small,Medium,Moderate,"CircleCI, GitLab, Docker, ELK Stack, Kubernetes, SonarQube, Ansible, Nexus Repository"
69,Large,Daily,Low,None,Medium,Long,Strict,"Travis CI, GitHub, Docker, ELK Stack, None, HashiCorp Vault, Ansible, Nexus Repository"
70,Large,Daily,Medium,None,Large,Short,Strict,"Travis CI, GitHub, Docker, Grafana, None, HashiCorp Vault, Terraform, JFrog Artifactory"
71,Small,Weekly,Medium,Auto-scaling,Large,Long,None,"Jenkins, GitLab, Docker, Grafana, Kubernetes, OWASP ZAP, Ansible, JFrog Artifactory"
72,Large,Monthly,Medium,Auto-scaling,Small,Medium,None,"Travis CI, Bitbucket, Docker, Grafana, Kubernetes, OWASP ZAP, Ansible, Nexus Repository"
73,Medium,Daily,High,Auto-scaling,Small,Short,Moderate,"CircleCI, GitHub, Docker, Prometheus, Kubernetes, SonarQube, Terraform, Nexus Repository"
74,Large,Monthly,Low,None,Large,Short,Moderate,"Travis CI, Bitbucket, Docker, ELK Stack, None, SonarQube, Terraform, JFrog Artifactory"
75,Large,Daily,Low,Manual,Medium,Medium,Moderate,"Travis CI, GitHub, Docker, ELK Stack, Docker Swarm, SonarQube, Ansible, Nexus Repository"
76,Medium,Weekly,Low,Manual,Medium,Long,None,"CircleCI, GitLab, Docker, ELK Stack, Docker Swarm, OWASP ZAP, Ansible, Nexus Repository"
77,Medium,Monthly,Medium,Auto-scaling,Medium,Short,Moderate,"CircleCI, Bitbucket, Docker, Grafana, Kubernetes, SonarQube, Terraform, Nexus Repository"
78,Small,Daily,Low,Manual,Large,Medium,None,"Jenkins, GitHub, Docker, ELK Stack, Docker Swarm, OWASP ZAP, Ansible, JFrog Artifactory"
79,Small,Daily,Medium,None,Large,Short,None,"Jenkins, GitHub, Docker, Grafana, None, OWASP ZAP, Terraform, JFrog Artifactory"
80,Small,Daily,Low,None,Large,Medium,None,"Jenkins, GitHub, Docker, ELK Stack, None, OWASP ZAP, Ansible, JFrog Artifactory"
81,Large,Daily,Low,Manual,Large,Medium,None,"Travis CI, GitHub, Docker, ELK Stack, Docker Swarm, OWASP ZAP, Ansible, JFrog Artifactory"
82,Medium,Weekly,Medium,None,Large,Long,Moderate,"CircleCI, GitLab, Docker, Grafana, None, SonarQube, Ansible, JFrog Artifactory"
83,Large,Daily,Medium,Auto-scaling,Small,Long,Strict,"Travis CI, GitHub, Docker, Grafana, Kubernetes, HashiCorp Vault, Ansible, Nexus Repository"
84,Small,Daily,Medium,Auto-scaling,Medium,Long,Moderate,"Jenkins, GitHub, Docker, Grafana, Kubernetes, SonarQube, Ansible, Nexus Repository"
85,Small,Monthly,High,Manual,Large,Short,Moderate,"Jenkins, Bitbucket, Docker, Prometheus, Docker Swarm, SonarQube, Terraform, JFrog Artifactory"
86,Medium,Daily,Medium,Manual,Small,Short,Strict,"CircleCI, GitHub, Docker, Grafana, Docker Swarm, HashiCorp Vault, Terraform, Nexus Repository"
87,Large,Daily,Medium,Manual,Large,Short,Moderate,"Travis CI, GitHub, Docker, Grafana, Docker Swarm, SonarQube, Terraform, JFrog Artifactory"
88,Large,Weekly,Low,Auto-scaling,Large,Long,Moderate,"Travis CI, GitLab, Docker, ELK Stack, Kubernetes, SonarQube, Ansible, JFrog Artifactory"
89,Medium,Daily,Medium,Manual,Small,Short,None,"CircleCI, GitHub, Docker, Grafana, Docker Swarm, OWASP ZAP, Terraform, Nexus Repository"
90,Medium,Daily,High,Auto-scaling,Large,Medium,None,"CircleCI, GitHub, Docker, Prometheus, Kubernetes, OWASP ZAP, Ansible, JFrog Artifactory"
91,Large,Weekly,Medium,Auto-scaling,Small,Long,None,"Travis CI, GitLab, Docker, Grafana, Kubernetes, OWASP ZAP, Ansible, Nexus Repository"
92,Small,Weekly,Medium,None,Small,Short,None,"Jenkins, GitLab, Docker, Grafana, None, OWASP ZAP, Terraform, Nexus Repository"
93,Large,Weekly,Medium,Manual,Small,Medium,None,"Travis CI, GitLab, Docker, Grafana, Docker Swarm, OWASP ZAP, Ansible, Nexus Repository"
94,Large,Monthly,Medium,None,Medium,Short,None,"Travis CI, Bitbucket, Docker, Grafana, None, OWASP ZAP, Terraform, Nexus Repository"
95,Medium,Weekly,Low,Auto-scaling,Small,Short,Moderate,"CircleCI, GitLab, Docker, ELK Stack, Kubernetes, SonarQube, Terraform, Nexus Repository"
96,Medium,Weekly,Low,None,Medium,Short,Strict,"CircleCI, GitLab, Docker, ELK Stack, None, HashiCorp Vault, Terraform, Nexus Repository"
97,Medium,Weekly,High,Auto-scaling,Medium,Medium,Moderate,"CircleCI, GitLab, Docker, Prometheus, Kubernetes, SonarQube, Ansible, Nexus Repository"
98,Small,Monthly,Low,Manual,Medium,Medium,Moderate,"Jenkins, Bitbucket, Docker, ELK Stack, Docker Swarm, SonarQube, Ansible, Nexus Repository"
99,Large,Monthly,Low,Auto-scaling,Large,Long,Moderate,"Travis CI, Bitbucket, Docker, ELK Stack, Kubernetes, SonarQube, Ansible, JFrog Artifactory"
100,Small,Weekly,Low,Manual,Small,Medium,Strict,"Jenkins, GitLab, Docker, ELK Stack, Docker Swarm, HashiCorp Vault, Ansible, Nexus Repository"
101,Medium,Weekly,Low,Auto-scaling,Small,Short,Strict,"CircleCI, GitLab, Docker, ELK Stack, Kubernetes, HashiCorp Vault, Terraform, Nexus Repository"
102,Large,Monthly,High,Auto-scaling,Large,Medium,None,"Travis CI, Bitbucket, Docker, Prometheus, Kubernetes, OWASP ZAP, Ansible, JFrog Artifactory"
103,Small,Weekly,Medium,None,Small,Medium,None,"Jenkins, GitLab, Docker, Grafana, None, OWASP ZAP, Ansible, Nexus Repository"
104,Medium,Daily,Medium,Manual,Small,Short,Moderate,"CircleCI, GitHub, Docker, Grafana, Docker Swarm, SonarQube, Terraform, Nexus Repository"
105,Large,Weekly,Medium,Manual,Large,Short,None,"Travis CI, GitLab, Docker, Grafana, Docker Swarm, OWASP ZAP, Terraform, JFrog Artifactory"
106,Medium,Monthly,Low,None,Large,Medium,None,"CircleCI, Bitbucket, Docker, ELK Stack, None, OWASP ZAP, Ansible, JFrog Artifactory"
107,Large,Monthly,High,Auto-scaling,Large,Long,Moderate,"Travis CI, Bitbucket, Docker, Prometheus, Kubernetes, SonarQube, Ansible, JFrog Artifactory"
108,Small,Weekly,Medium,Auto-scaling,Small,Long,Strict,"Jenkins, GitLab, Docker, Grafana, Kubernetes, HashiCorp Vault, Ansible, Nexus Repository"
109,Small,Monthly,Medium,Manual,Small,Medium,None,"Jenkins, Bitbucket, Docker, Grafana, Docker Swarm, OWASP ZAP, Ansible, Nexus Repository"
110,Large,Weekly,High,None,Small,Short,Strict,"Travis CI, GitLab, Docker, Prometheus, None, HashiCorp Vault, Terraform, Nexus Repository"
111,Large,Daily,High,Auto-scaling,Large,Medium,Moderate,"Travis CI, GitHub, Docker, Prometheus, Kubernetes, SonarQube, Ansible, JFrog Artifactory"
112,Small,Daily,High,Manual,Medium,Long,Strict,"Jenkins, GitHub, Docker, Prometheus, Docker Swarm, HashiCorp Vault, Ansible, Nexus Repository"
113,Large,Weekly,High,Auto-scaling,Large,Long,Strict,"Travis CI, GitLab, Docker, Prometheus, Kubernetes, HashiCorp Vault, Ansible, JFrog Artifactory"
114,Large,Daily,High,Manual,Small,Short,None,"Travis CI, GitHub, Docker, Prometheus, Docker Swarm, OWASP ZAP, Terraform, Nexus Repository"
115,Medium,Daily,Low,Manual,Small,Long,Strict,"CircleCI, GitHub, Docker, ELK Stack, Docker Swarm, HashiCorp Vault, Ansible, Nexus Repository"
116,Small,Weekly,Medium,None,Large,Medium,Moderate,"Jenkins, GitLab, Docker, Grafana, None, SonarQube, Ansible, JFrog Artifactory"
117,Large,Monthly,Low,None,Large,Medium,Moderate,"Travis CI, Bitbucket, Docker, ELK Stack, None, SonarQube, Ansible, JFrog Artifactory"
118,Small,Monthly,Medium,Auto-scaling,Small,Short,None,"Jenkins, Bitbucket, Docker, Grafana, Kubernetes, OWASP ZAP, Terraform, Nexus Repository"
119,Large,Daily,Medium,Auto-scaling,Medium,Long,Strict,"Travis CI, GitHub, Docker, Grafana, Kubernetes, HashiCorp Vault, Ansible, Nexus Repository"
120,Large,Monthly,Low,Auto-scaling,Medium,Long,Moderate,"Travis CI, Bitbucket, Docker, ELK Stack, Kubernetes, SonarQube, Ansible, Nexus Repository"
121,Small,Monthly,High,None,Medium,Short,None,"Jenkins, Bitbucket, Docker, Prometheus, None, OWASP ZAP, Terraform, Nexus Repository"
122,Medium,Monthly,High,Auto-scaling,Medium,Medium,Moderate,"CircleCI, Bitbucket, Docker, Prometheus, Kubernetes, SonarQube, Ansible, Nexus Repository"
123,Medium,Monthly,Medium,Auto-scaling,Small,Short,None,"CircleCI, Bitbucket, Docker, Grafana, Kubernetes, OWASP ZAP, Terraform, Nexus Repository"
124,Large,Monthly,Medium,Auto-scaling,Medium,Short,None,"Travis CI, Bitbucket, Docker, Grafana, Kubernetes, OWASP ZAP, Terraform, Nexus Repository"
125,Medium,Weekly,Low,None,Medium,Long,Strict,"CircleCI, GitLab, Docker, ELK Stack, None, HashiCorp Vault, Ansible, Nexus Repository"
126,Small,Daily,High,Auto-scaling,Medium,Long,None,"Jenkins, GitHub, Docker, Prometheus, Kubernetes, OWASP ZAP, Ansible, Nexus Repository"
127,Large,Weekly,High,None,Large,Short,Strict,"Travis CI, GitLab, Docker, Prometheus, None, HashiCorp Vault, Terraform, JFrog Artifactory"
128,Small,Daily,Low,Auto-scaling,Large,Long,Strict,"Jenkins, GitHub, Docker, ELK Stack, Kubernetes, HashiCorp Vault, Ansible, JFrog Artifactory"
129,Medium,Weekly,Low,None,Large,Short,Moderate,"CircleCI, GitLab, Docker, ELK Stack, None, SonarQube, Terraform, JFrog Artifactory"
130,Large,Daily,High,Manual,Large,Long,Moderate,"Travis CI, GitHub, Docker, Prometheus, Docker Swarm, SonarQube, Ansible, JFrog Artifactory"
131,Medium,Daily,Medium,None,Medium,Medium,Strict,"CircleCI, GitHub, Docker, Grafana, None, HashiCorp Vault, Ansible, Nexus Repository"
132,Large,Daily,Low,Manual,Small,Short,None,"Travis CI, GitHub, Docker, ELK Stack, Docker Swarm, OWASP ZAP, Terraform, Nexus Repository"
133,Small,Monthly,Medium,None,Small,Long,Moderate,"Jenkins, Bitbucket, Docker, Grafana, None, SonarQube, Ansible, Nexus Repository"
134,Medium,Daily,Medium,None,Small,Long,None,"CircleCI, GitHub, Docker, Grafana, None, OWASP ZAP, Ansible, Nexus Repository"
135,Large,Monthly,Low,Manual,Medium,Long,Moderate,"Travis CI, Bitbucket, Docker, ELK Stack, Docker Swarm, SonarQube, Ansible, Nexus Repository"
136,Large,Weekly,Medium,Manual,Large,Short,Moderate,"Travis CI, GitLab, Docker, Grafana, Docker Swarm, SonarQube, Terraform, JFrog Artifactory"
137,Large,Weekly,Medium,None,Medium,Medium,Strict,"Travis CI, GitLab, Docker, Grafana, None, HashiCorp Vault, Ansible, Nexus Repository"
138,Small,Daily,High,None,Small,Long,None,"Jenkins, GitHub, Docker, Prometheus, None, OWASP ZAP, Ansible, Nexus Repository"
139,Medium,Monthly,Low,Auto-scaling,Medium,Long,Strict,"CircleCI, Bitbucket, Docker, ELK Stack, Kubernetes, HashiCorp Vault, Ansible, Nexus Repository"
140,Small,Weekly,Medium,Manual,Small,Short,Strict,"Jenkins, GitLab, Docker, Grafana, Docker Swarm, HashiCorp Vault, Terraform, Nexus Repository"
141,Medium,Weekly,High,None,Small,Medium,Strict,"CircleCI, GitLab, Docker, Prometheus, None, HashiCorp Vault, Ansible, Nexus Repository"
142,Large,Monthly,High,None,Medium,Short,Moderate,"Travis CI, Bitbucket, Docker, Prometheus, None, SonarQube, Terraform, Nexus Repository"
143,Large,Daily,High,Manual,Small,Short,None,"Travis CI, GitHub, Docker, Prometheus, Docker Swarm, OWASP ZAP, Terraform, Nexus Repository"
144,Small,Monthly,Medium,None,Small,Medium,Moderate,"Jenkins, Bitbucket, Docker, Grafana, None, SonarQube, Ansible, Nexus Repository"
145,Small,Daily,Low,None,Medium,Long,Strict,"Jenkins, GitHub, Docker, ELK Stack, None, HashiCorp Vault, Ansible, Nexus Repository"
146,Large,Weekly,Low,Manual,Small,Short,Moderate,"Travis CI, GitLab, Docker, ELK Stack, Docker Swarm, SonarQube, Terraform, Nexus Repository"
147,Large,Daily,Low,Manual,Large,Medium,Moderate,"Travis CI, GitHub, Docker, ELK Stack, Docker Swarm, SonarQube, Ansible, JFrog Artifactory"
148,Small,Monthly,Low,None,Large,Medium,Strict,"Jenkins, Bitbucket, Docker, ELK Stack, None, HashiCorp Vault, Ansible, JFrog Artifactory"
149,Small,Daily,High,None,Small,Long,Strict,"Jenkins, GitHub, Docker, Prometheus, None, HashiCorp Vault, Ansible, Nexus Repository"
150,Large,Weekly,Medium,None,Small,Long,Moderate,"Travis CI, GitLab, Docker, Grafana, None, SonarQube, Ansible, Nexus Repository"
151,Small,Daily,Medium,Auto-scaling,Small,Medium,None,"Jenkins, GitHub, Docker, Grafana, Kubernetes, OWASP ZAP, Ansible, Nexus Repository"
152,Medium,Monthly,Low,Auto-scaling,Large,Short,Moderate,"CircleCI, Bitbucket, Docker, ELK Stack, Kubernetes, SonarQube, Terraform, JFrog Artifactory"
153,Small,Daily,Medium,Manual,Small,Medium,Moderate,"Jenkins, GitHub, Docker, Grafana, Docker Swarm, SonarQube, Ansible, Nexus Repository"
154,Large,Monthly,Medium,Manual,Large,Long,None,"Travis CI, Bitbucket, Docker, Grafana, Docker Swarm, OWASP ZAP, Ansible, JFrog Artifactory"
155,Large,Monthly,Low,Manual,Medium,Medium,Strict,"Travis CI, Bitbucket, Docker, ELK Stack, Docker Swarm, HashiCorp Vault, Ansible, Nexus Repository"
156,Small,Monthly,Low,Auto-scaling,Large,Medium,None,"Jenkins, Bitbucket, Docker, ELK Stack, Kubernetes, OWASP ZAP, Ansible, JFrog Artifactory"
157,Large,Daily,Medium,Auto-scaling,Small,Long,Moderate,"Travis CI, GitHub, Docker, Grafana, Kubernetes, SonarQube, Ansible, Nexus Repository"
158,Large,Daily,Low,Manual,Small,Long,Moderate,"Travis CI, GitHub, Docker, ELK Stack, Docker Swarm, SonarQube, Ansible, Nexus Repository"
159,Medium,Daily,High,Manual,Medium,Short,None,"CircleCI, GitHub, Docker, Prometheus, Docker Swarm, OWASP ZAP, Terraform, Nexus Repository"
160,Large,Weekly,Low,None,Large,Short,Moderate,"Travis CI, GitLab, Docker, ELK Stack, None, SonarQube, Terraform, JFrog Artifactory"
161,Medium,Monthly,Medium,None,Small,Short,Moderate,"CircleCI, Bitbucket, Docker, Grafana, None, SonarQube, Terraform, Nexus Repository"
162,Large,Daily,Low,None,Large,Short,None,"Travis CI, GitHub, Docker, ELK Stack, None, OWASP ZAP, Terraform, JFrog Artifactory"
163,Medium,Monthly,Medium,Manual,Small,Medium,Moderate,"CircleCI, Bitbucket, Docker, Grafana, Docker Swarm, SonarQube, Ansible, Nexus Repository"
164,Small,Daily,Low,Manual,Small,Medium,Strict,"Jenkins, GitHub, Docker, ELK Stack, Docker Swarm, HashiCorp Vault, Ansible, Nexus Repository"
165,Small,Daily,Low,Manual,Small,Short,Strict,"Jenkins, GitHub, Docker, ELK Stack, Docker Swarm, HashiCorp Vault, Terraform, Nexus Repository"
166,Small,Daily,Medium,Auto-scaling,Medium,Medium,Moderate,"Jenkins, GitHub, Docker, Grafana, Kubernetes, SonarQube, Ansible, Nexus Repository"
167,Large,Weekly,Low,None,Large,Medium,None,"Travis CI, GitLab, Docker, ELK Stack, None, OWASP ZAP, Ansible, JFrog Artifactory"
168,Medium,Monthly,Medium,None,Large,Medium,None,"CircleCI, Bitbucket, Docker, Grafana, None, OWASP ZAP, Ansible, JFrog Artifactory"
169,Small,Monthly,Medium,None,Small,Medium,Strict,"Jenkins, Bitbucket, Docker, Grafana, None, HashiCorp Vault, Ansible, Nexus Repository"
170,Small,Monthly,Low,None,Small,Medium,None,"Jenkins, Bitbucket, Docker, ELK Stack, None, OWASP ZAP, Ansible, Nexus Repository"
171,Medium,Daily,Medium,Auto-scaling,Small,Short,Strict,"CircleCI, GitHub, Docker, Grafana, Kubernetes, HashiCorp Vault, Terraform, Nexus Repository"
172,Medium,Daily,Medium,None,Medium,Short,None,"CircleCI, GitHub, Docker, Grafana, None, OWASP ZAP, Terraform, Nexus Repository"
173,Large,Monthly,Low,Manual,Small,Long,Strict,"Travis CI, Bitbucket, Docker, ELK Stack, Docker Swarm, HashiCorp Vault, Ansible, Nexus Repository"
174,Large,Daily,Low,Manual,Medium,Short,Moderate,"Travis CI, GitHub, Docker, ELK Stack, Docker Swarm, SonarQube, Terraform, Nexus Repository"
175,Medium,Daily,Low,Manual,Large,Medium,Moderate,"CircleCI, GitHub, Docker, ELK Stack, Docker Swarm, SonarQube, Ansible, JFrog Artifactory"
